Case,Problem_Type,Metric,Original_Value,Transformed_Value,Difference,Text_A,Text_B,Domain_A,Domain_B,Similarity_Score,Notes
Case_2,Paraphrase_Sensitivity,Pairwise_Cosine,0.6485,0.6107,0.0377,"Safety fences reduce the risk of worker injury around machines.","Protective barriers shield employees from accidents near industrial robots.",Safety,Safety,0.6485,Original pair
Case_2,Paraphrase_Sensitivity,Pairwise_Cosine,0.6485,0.6107,0.0377,"By installing safety fences around machines, the risk of worker injury is reduced.","Employees are protected from accidents around industrial robots by protective barriers.",Safety,Safety,0.6107,Paraphrased pair
Case_2,Paraphrase_Sensitivity,Jaccard_Overlap_A1,1.000,1.000,0.000,"Safety fences reduce the risk of worker injury around machines.","By installing safety fences around machines, the risk of worker injury is reduced.",Safety,Safety,1.000,Perfect neighbor overlap
Case_2,Paraphrase_Sensitivity,Jaccard_Overlap_A2,0.818,0.818,0.000,"Protective barriers shield employees from accidents near industrial robots.","Employees are protected from accidents around industrial robots by protective barriers.",Safety,Safety,0.818,Significant neighbor change
Case_2,Paraphrase_Sensitivity,RBO_Score_A1,0.949,0.949,0.000,"Safety fences reduce the risk of worker injury around machines.","By installing safety fences around machines, the risk of worker injury is reduced.",Safety,Safety,0.949,High ranking similarity
Case_2,Paraphrase_Sensitivity,RBO_Score_A2,0.990,0.990,0.000,"Protective barriers shield employees from accidents near industrial robots.","Employees are protected from accidents around industrial robots by protective barriers.",Safety,Safety,0.990,Very high ranking similarity
Case_2,Paraphrase_Sensitivity,Neighbor_Rank_1,1.000,0.947,-0.053,"Safety fences reduce the risk of worker injury around machines.","Safety fences reduce the risk of worker injury around machines.",Safety,Safety,1.000,Top neighbor similarity change
Case_2,Paraphrase_Sensitivity,Neighbor_Rank_2,0.578,0.529,-0.049,"Protective barriers around robot cells prevent accidents.","Protective barriers around robot cells prevent accidents.",Safety,Safety,0.578,Second neighbor similarity change
Case_2,Paraphrase_Sensitivity,Neighbor_Rank_5,0.271,0.250,-0.021,"CE marking indicates conformity with health and safety standards.","Regular exercise reduces the risk of cardiovascular disease.",Safety,Health,0.271,Domain shift in 5th neighbor
Case_4,Cosine_Ambiguity,Identical_Cosine,0.0642,0.0642,0.0000,automobile,"An eagle soared over the valley.",Transport,Nature,0.0642,Example 1 - Different domains same cosine
Case_4,Cosine_Ambiguity,Identical_Cosine,0.0642,0.0642,0.0000,couch,"A sparrow perched on the fence.",Furniture,Nature,0.0642,Example 1 - Different domains same cosine
Case_4,Cosine_Ambiguity,Identical_Cosine,0.0015,0.0015,0.0000,couch,"The dog barked at the mailman.",Furniture,Animals,0.0015,Example 2 - Very low similarity
Case_4,Cosine_Ambiguity,Identical_Cosine,0.0015,0.0015,0.0000,"He tightened the screw with a screwdriver.","The physician assessed the symptoms.",Tools,Medical,0.0015,Example 2 - Very low similarity
Case_4,Cosine_Ambiguity,Identical_Cosine,0.0448,0.0448,0.0000,"An eagle soared over the valley.","The automobile was parked in the garage.",Nature,Transport,0.0448,Example 3 - Medium-low similarity
Case_4,Cosine_Ambiguity,Identical_Cosine,0.0448,0.0448,0.0000,"The physician assessed the symptoms.","He was joyful during the celebration.",Medical,Emotion,0.0448,Example 3 - Medium-low similarity
Case_4,Cosine_Ambiguity,Lexical_Overlap,0.000,0.000,0.000,automobile,"An eagle soared over the valley.",Transport,Nature,0.000,No shared words
Case_4,Cosine_Ambiguity,Lexical_Overlap,0.100,0.100,0.000,"He tightened the screw with a screwdriver.","The physician assessed the symptoms.",Tools,Medical,0.100,Minimal word overlap
Case_4,Cosine_Ambiguity,Lexical_Overlap,0.111,0.111,0.000,"The physician assessed the symptoms.","He was joyful during the celebration.",Medical,Emotion,0.111,Low word overlap
